2021-01-05 09:16:40 status half-configured linux-image-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1
2021-01-05 09:16:49 status installed linux-image-5.4.0-59-generic:amd64 5.4.0-59.65~18.04.1
2021-01-06 08:44:28 startup packages remove
2021-01-06 08:44:28 status installed linux-modules-extra-5.4.0-56-generic:amd64 5.4.0-56.62~18.04.1
2021-01-06 08:44:28 remove linux-modules-extra-5.4.0-56-generic:amd64 5.4.0-56.62~18.04.1 <none>
2021-01-06 08:44:28 status half-configured linux-modules-extra-5.4.0-56-generic:amd64 5.4.0-56.62~18.04.1
2021-01-06 08:44:28 status half-installed linux-modules-extra-5.4.0-56-generic:amd64 5.4.0-56.62~18.04.1
2021-01-06 08:44:29 status config-files linux-modules-extra-5.4.0-56-generic:amd64 5.4.0-56.62~18.04.1
2021-01-06 08:44:29 status config-files linux-modules-extra-5.4.0-56-generic:amd64 5.4.0-56.62~18.04.1
2021-01-06 08:44:29 startup packages configure
2021-01-06 08:44:32 startup packages remove
2021-01-06 08:44:32 status installed linux-image-5.4.0-56-generic:amd64 5.4.0-56.62~18.04.1
2021-01-06 08:44:32 remove linux-image-5.4.0-56-generic:amd64 5.4.0-56.62~18.04.1 <none>
2021-01-06 08:44:32 status half-configured linux-image-5.4.0-56-generic:amd64 5.4.0-56.62~18.04.1
2021-01-06 08:44:33 status half-installed linux-image-5.4.0-56-generic:amd64 5.4.0-56.62~18.04.1
2021-01-06 08:44:34 status config-files linux-image-5.4.0-56-generic:amd64 5.4.0-56.62~18.04.1
2021-01-06 08:44:34 status config-files linux-image-5.4.0-56-generic:amd64 5.4.0-56.62~18.04.1
2021-01-06 08:44:34 status installed linux-modules-5.4.0-56-generic:amd64 5.4.0-56.62~18.04.1
2021-01-06 08:44:34 remove linux-modules-5.4.0-56-generic:amd64 5.4.0-56.62~18.04.1 <none>
2021-01-06 08:44:34 status half-configured linux-modules-5.4.0-56-generic:amd64 5.4.0-56.62~18.04.1
2021-01-06 08:44:34 status half-installed linux-modules-5.4.0-56-generic:amd64 5.4.0-56.62~18.04.1
2021-01-06 08:44:34 status config-files linux-modules-5.4.0-56-generic:amd64 5.4.0-56.62~18.04.1
2021-01-06 08:44:34 status config-files linux-modules-5.4.0-56-generic:amd64 5.4.0-56.62~18.04.1
2021-01-06 08:44:34 startup packages configure
2021-01-06 08:44:35 startup packages remove
2021-01-06 08:44:35 status installed linux-headers-5.4.0-56-generic:amd64 5.4.0-56.62~18.04.1
2021-01-06 08:44:35 remove linux-headers-5.4.0-56-generic:amd64 5.4.0-56.62~18.04.1 <none>
2021-01-06 08:44:35 status half-configured linux-headers-5.4.0-56-generic:amd64 5.4.0-56.62~18.04.1
2021-01-06 08:44:35 status half-installed linux-headers-5.4.0-56-generic:amd64 5.4.0-56.62~18.04.1
2021-01-06 08:44:36 status config-files linux-headers-5.4.0-56-generic:amd64 5.4.0-56.62~18.04.1
2021-01-06 08:44:36 status config-files linux-headers-5.4.0-56-generic:amd64 5.4.0-56.62~18.04.1
2021-01-06 08:44:36 status config-files linux-headers-5.4.0-56-generic:amd64 5.4.0-56.62~18.04.1
2021-01-06 08:44:36 status not-installed linux-headers-5.4.0-56-generic:amd64 <none>
2021-01-06 08:44:36 startup packages configure
2021-01-06 08:44:42 startup archives unpack
2021-01-06 08:44:42 upgrade firefox:amd64 84.0+build3-0ubuntu0.18.04.1 84.0.1+build1-0ubuntu0.18.04.1
2021-01-06 08:44:42 status half-configured firefox:amd64 84.0+build3-0ubuntu0.18.04.1
2021-01-06 08:44:42 status unpacked firefox:amd64 84.0+build3-0ubuntu0.18.04.1
2021-01-06 08:44:42 status half-installed firefox:amd64 84.0+build3-0ubuntu0.18.04.1
2021-01-06 08:44:47 status triggers-pending gnome-menus:amd64 3.13.3-11ubuntu1.1
2021-01-06 08:44:47 status triggers-pending desktop-file-utils:amd64 0.23-1ubuntu3.18.04.2
2021-01-06 08:44:47 status triggers-pending mime-support:all 3.60ubuntu1
2021-01-06 08:44:47 status triggers-pending hicolor-icon-theme:all 0.17-2
2021-01-06 08:44:47 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2021-01-06 08:44:47 status half-installed firefox:amd64 84.0+build3-0ubuntu0.18.04.1
2021-01-06 08:44:47 status unpacked firefox:amd64 84.0.1+build1-0ubuntu0.18.04.1
2021-01-06 08:44:47 status unpacked firefox:amd64 84.0.1+build1-0ubuntu0.18.04.1
2021-01-06 08:44:47 startup packages configure
2021-01-06 08:44:47 configure firefox:amd64 84.0.1+build1-0ubuntu0.18.04.1 <none>
2021-01-06 08:44:47 status unpacked firefox:amd64 84.0.1+build1-0ubuntu0.18.04.1
2021-01-06 08:44:47 status unpacked firefox:amd64 84.0.1+build1-0ubuntu0.18.04.1
2021-01-06 08:44:47 status unpacked firefox:amd64 84.0.1+build1-0ubuntu0.18.04.1
2021-01-06 08:44:47 status unpacked firefox:amd64 84.0.1+build1-0ubuntu0.18.04.1
2021-01-06 08:44:47 status unpacked firefox:amd64 84.0.1+build1-0ubuntu0.18.04.1
2021-01-06 08:44:47 status half-configured firefox:amd64 84.0.1+build1-0ubuntu0.18.04.1
2021-01-06 08:44:47 status installed firefox:amd64 84.0.1+build1-0ubuntu0.18.04.1
2021-01-06 08:44:47 trigproc gnome-menus:amd64 3.13.3-11ubuntu1.1 <none>
2021-01-06 08:44:47 status half-configured gnome-menus:amd64 3.13.3-11ubuntu1.1
2021-01-06 08:44:47 status installed gnome-menus:amd64 3.13.3-11ubuntu1.1
2021-01-06 08:44:47 trigproc hicolor-icon-theme:all 0.17-2 <none>
2021-01-06 08:44:47 status half-configured hicolor-icon-theme:all 0.17-2
2021-01-06 08:44:47 status installed hicolor-icon-theme:all 0.17-2
2021-01-06 08:44:47 trigproc mime-support:all 3.60ubuntu1 <none>
2021-01-06 08:44:47 status half-configured mime-support:all 3.60ubuntu1
2021-01-06 08:44:47 status installed mime-support:all 3.60ubuntu1
